year,month,ENSO,field_4,field_5,field_6
1928,JAN,-1.3,,,
1928,FEB,1.3,,,
1928,MAR,1.4,,,
1928,APR,1,,,
1928,MAY,-0.2,,,
1928,JUN,-0.7,,,
1928,JUL,0,,,
1928,AUG,0.9,,,
1928,SEP,1,,,
1928,OCT,0.9,,,
1928,NOV,0.1,,,
1928,DEC,1.4,,,
1928,Annual_average,0.483333333,,,
1929,JAN,1.9,,,
1929,FEB,2.3,,,
1929,MAR,0.5,,,
1929,APR,0.3,,,
1929,MAY,-1,,,
1929,JUN,0.1,,,
1929,JUL,0.3,,,
1929,AUG,-0.1,,,
1929,SEP,-0.1,,,
1929,OCT,0.7,,,
1929,NOV,1,,,
1929,DEC,0.6,,,
1929,Annual_average,0.541666667,,,
1930,JAN,1.5,,,
1930,FEB,0.8,,,
1930,MAR,0,,,
1930,APR,-0.2,,,
1930,MAY,0.1,,,
1930,JUN,-0.6,,,
1930,JUL,-0.5,,,
1930,AUG,-0.4,,,
1930,SEP,-0.7,,,
1930,OCT,0.4,,,
1930,NOV,0.1,,,
1930,DEC,-0.4,,,
1930,Annual_average,0.008333333,,,
1931,JAN,0.9,,,
1931,FEB,-2,,,
1931,MAR,0.5,,,
1931,APR,0.7,,,
1931,MAY,1.2,,,
1931,JUN,1.3,,,
1931,JUL,0.9,,,
1931,AUG,,,,
1931,SEP,,,,
1931,OCT,,,,
1931,NOV,,,,
1931,DEC,,,,
1931,Annual_average,0.5,,,
1932,JAN,,,,
1932,FEB,,,,
1932,MAR,,,,
1932,APR,,,,
1932,MAY,,,,
1932,JUN,,,,
1932,JUL,,,,
1932,AUG,,,,
1932,SEP,-1.1,,,
1932,OCT,-0.6,,,
1932,NOV,-0.6,,,
1932,DEC,0.2,,,
1932,Annual_average,-0.525,,,
1933,JAN,-1.6,,,
1933,FEB,0.4,,,
1933,MAR,-0.4,,,
1933,APR,0.3,,,
1933,MAY,0.5,,,
1933,JUN,-0.4,,,
1933,JUL,0.2,,,
1933,AUG,-0.2,,,
1933,SEP,0.3,,,
1933,OCT,0.2,,,
1933,NOV,0.5,,,
1933,DEC,0.9,,,
1933,Annual_average,0.058333333,,,
1934,JAN,0.7,,,
1934,FEB,0,,,
1934,MAR,-0.1,,,
1934,APR,0.4,,,
1934,MAY,-0.5,,,
1934,JUN,0.8,,,
1934,JUL,0.2,,,
1934,AUG,-2.5,,,
1934,SEP,-0.7,,,
1934,OCT,0.3,,,
1934,NOV,1.1,,,
1934,DEC,-0.4,,,
1934,Annual_average,-0.058333333,,,
1935,JAN,0.8,,,
1935,FEB,-0.7,,,
1935,MAR,1.3,,,
1935,APR,0.3,,,
1935,MAY,-0.4,,,
1935,JUN,-0.2,,,
1935,JUL,0,,,
1935,AUG,0.1,,,
1935,SEP,0.6,,,
1935,OCT,0.7,,,
1935,NOV,0.2,,,
1935,DEC,-0.6,,,
1935,Annual_average,0.175,,,
1936,JAN,-0.3,,,
1936,FEB,-0.1,,,
1936,MAR,0,,,
1936,APR,0.5,,,
1936,MAY,0.4,,,
1936,JUN,-0.3,,,
1936,JUL,0.3,,,
1936,AUG,-1,,,
1936,SEP,0.2,,,
1936,OCT,-0.1,,,
1936,NOV,-1.5,,,
1936,DEC,-0.1,,,
1936,Annual_average,-0.166666667,,,
1937,JAN,1.1,,,
1937,FEB,-0.8,,,
1937,MAR,0.6,,,
1937,APR,0.1,,,
1937,MAY,-0.1,,,
1937,JUN,0.1,,,
1937,JUL,-0.5,,,
1937,AUG,0.1,,,
1937,SEP,0.1,,,
1937,OCT,-0.5,,,
1937,NOV,-0.5,,,
1937,DEC,0.6,,,
1937,Annual_average,0.025,,,
1938,JAN,0.8,,,
1938,FEB,0.4,,,
1938,MAR,-0.5,,,
1938,APR,0.3,,,
1938,MAY,1,,,
1938,JUN,1.3,,,
1938,JUL,1.8,,,
1938,AUG,1,,,
1938,SEP,0.9,,,
1938,OCT,1.3,,,
1938,NOV,0,,,
1938,DEC,1.6,,,
